WEEK,tot_sales,tot_Profit,FULLCUST,tot_sales_change,tot_Profit_change,Cus_Change,NSALE1,NSALE2,NSALE3,NSALE4,NSALE5,NSALE6,NSALE7,Price1,Price1,Price3,Price4,Price5,Price6,Price7
114,44688.24903,12565.45876,1990230,-36529.13765,3917.483842,-16242,0.004664116,0,0.9577752,0.847383884,0.979296118,0.911452864,0.426560214,0.801384797,0.828828392,1.521281672,0.726417227,1.37317125,3.301992992,0.801961608
115,42438.35609,10381.02615,2431995,-2249.892935,-2184.432605,441765,0.483488868,0,0,0.846066024,0.979664021,0,0.838494179,0.686173906,0.829271059,1.780599838,0.730700856,1.374695819,3.417820769,0.800790157
116,32145.1225,7968.157477,1715724,-10293.23359,-2412.868674,-716271,0.481168562,0.005526991,0,0,0.962561148,0,0.256549365,0.686213473,0.796153677,1.778885022,0.782249254,1.387545306,3.413399502,0.80737147
117,49051.49297,11696.24187,1970439,16906.37047,3728.084388,254715,0.481168562,0.408804874,0.02392235,0.441346042,0.017258101,0.035102806,0.584317354,0.686213473,0.741519842,1.752474498,0.782249254,1.480742109,3.372009856,0.823319959
118,42672.22468,9963.807387,2002062,-6379.268289,-1732.434478,31623,0.93209039,0.773052789,0.946841953,0,0.98355611,0.93959136,0.004974317,0.686283318,0.745809742,1.64429761,0.739673458,1.373342276,3.191834261,0.826535777
119,31456.88849,7106.51454,2160359,-11215.3362,-2857.292847,158297,0.464898961,0,0.815931717,0.414158113,0.983173008,0.369274909,0,0.691579586,0.83028495,1.641227649,0.651794052,1.372252365,3.194897532,0.827658566
120,36667.71167,9731.309354,1980543,5210.823177,2624.794814,-179816,0.004618757,0,0.946549801,0.297645794,0.966405792,0.911506431,0,0.812523057,0.832984789,1.643786454,0.651765147,1.393459085,3.233378281,0.826535777
121,62425.48485,16433.64502,2011829,25757.77319,6702.335669,31286,0.447054238,0,0.494132587,0.301100028,0,0,0.422449793,0.768202775,0.83136316,1.643331563,0.65178566,1.50981711,3.414363551,0.825283622
122,79874.82354,20186.81592,1864750,17449.33868,3753.170899,-147079,0.893320984,0.334715482,0.945167915,0.862058579,0,0,0,0.772296334,0.769894529,1.641370831,0.651815317,1.50824552,3.411005395,0.823152601
123,79282.57098,21538.36954,1965707,-592.2525521,1351.55362,100957,0,0.861002137,0.356196205,0.424851534,0,0,0.13782837,0.836806041,0.772573194,1.645128997,0.651640584,1.510717783,3.417698369,0.815532008
124,44103.96927,12302.49061,2041411,-35178.60171,-9235.87893,75704,0,0,0.929551548,0.301285145,0,0,0,0.837565602,0.834568553,1.659251067,0.652812678,1.51179955,3.419078745,0.828980433
125,38934.11956,11349.07641,1895580,-5169.849717,-953.4142037,-145831,0,0,0,0.810922162,0,0,0,0.837313446,0.834491082,1.779919501,0.665533873,1.505881619,3.416033375,0.828123997
126,34713.14725,10320.48726,1996714,-4220.972308,-1028.589146,101134,0,0,0,0.356454945,0.036326023,0,0,0.836274019,0.832817268,1.778505248,0.665199181,1.475762249,3.412945144,0.82976466
127,59568.96804,16857.12085,2202714,24855.82079,6536.633589,206000,0,0,0.035043992,0.935012359,0.33619388,0.031188196,0,0.832218287,0.834686268,1.764070255,0.656696694,1.420997515,3.41053992,0.828054601
128,79503.38909,27240.03951,1957184,19934.42104,10382.91866,-245530,0.112967885,0,0.981163098,0.011396148,0.351910187,0.975183888,0.000423538,0.816773539,0.83351126,1.672700602,0.766106613,1.42075827,3.379060043,0.824121001
129,191674.5102,65791.04224,1980994,112171.1211,38551.00272,23810,0.578443306,0,0.505589281,0,0.951427993,0.37464569,0.028635211,0.818688795,0.831652749,1.678675707,0.576082194,1.42038828,3.37596827,0.694269114
130,150837.7804,62386.2496,2099286,-40836.72986,-3404.792636,118292,0.027523667,0.104558136,0.029421469,0,0.951427993,0.034818028,0.404341957,0.834805868,0.820812863,1.759121223,0.761245527,1.42038828,3.406309956,0.652623258
131,236040.7658,73273.84371,1996128,85202.98545,10887.59411,-103158,0.038468653,0.963802646,0.370956879,0.022501013,0.951427993,0.975316601,0.404765495,0.722669639,0.393378447,1.640825838,0.655685099,1.42038828,3.373589696,0.670992191
132,88286.3091,8572.024768,1998538,-147754.4567,-64701.81894,2410,0.853942772,0,0.821374942,0.985769406,0.950046465,0.974526373,0.399066464,0.5,0.818363775,1.642999072,0.498314797,1.421554166,3.338626584,0.725377461
133,58816.00422,6413.771874,2039246,-29470.30487,-2158.252895,40708,0.979399695,0,0.821802305,0.97421205,0.360015305,0.423245468,0,0.515821929,0.82445771,1.647494248,0.5,1.412513431,2.989999999,0.822940225
134,42061.53961,9889.700949,1896259,-16754.46461,3475.929075,-142987,0.57059781,0,0,0.974586632,0.983731883,0.975218694,0,0.836696388,0.82711223,1.778124484,0.515124539,1.36879816,2.989999999,0.823719716
135,40106.51353,12252.47849,2123087,-1955.026084,2362.777545,226828,0.440256259,0,0.008200009,0,0.398972995,0.975133154,0,0.835703753,0.777382425,1.763296453,0.779699051,1.375080808,2.989999999,0.82265241
